,className,classStanding,isTransfer,major,gpa,age,gender,exerciseHrs,gymVisits,mentalHealth,timeToSleep,hrsSleep,energyLevels,caffeineFreq,caffeineType,caffeineIntake,units
107,CS111,Junior,0,Data Science major,3.34 - 3.66,18 - 20,Male,4 - 5 hours,1 - 2 times,3,0 - 15 minutes,6 - 7 hours,2,Multiple times per week,"Coffee, Energy drink",12-24 oz (1 - 2 cups),>15
108,CS105,Senior,0,CSBA major,3.67 - 4.0,20 - 22,Male,2 - 3 hours,1 - 2 times,2,0 - 15 minutes,7 - 8 hours,4,I don't consume them at all,None,0 oz,>15
109,CS105,Senior,1,CS major,3.34 - 3.66,22 - 24,Male,4 - 5 hours,3 - 4 times,4,15 - 30 minutes,6 - 7 hours,3,,"Tea, Coffee, Energy drink",12-24 oz (1 - 2 cups),12-15
110,CS105,Senior,0,CS major,3.34 - 3.66,20 - 22,Male,4 - 5 hours,5 - 6 times,4,15 - 30 minutes,5 - 6 hours,3,Multiple times per week,Energy drink,Less than 12 oz (about 1 cup),>15
111,CS10C,Sophomore,0,CS major,2.00 - 2.49,18 - 20,Male,2 - 3 hours,1 - 2 times,1,15 - 30 minutes,6 - 7 hours,3,I don't consume them at all,None,0 oz,>15
112,CS10C,Junior,0,CS major,2.50 - 2.99,18 - 20,Male,0 - 1 hours,"0, I don't go to the gym",2,15 - 30 minutes,7 - 8 hours,3,Once per week,Coffee,Less than 12 oz (about 1 cup),>15
113,CS111,Junior,0,CEN or EE major,3.34 - 3.66,20 - 22,Male,0 - 1 hours,"0, I don't go to the gym",2,0 - 15 minutes,6 - 7 hours,4,I don't consume them at all,"Tea, Matcha",0 oz,12-15
114,CS10C,Junior,1,CS major,3.34 - 3.66,20 - 22,Male,0 - 1 hours,"0, I don't go to the gym",1,30 - 45 minutes,5 - 6 hours,3,Once per month,Coffee,0 oz,12-15
115,CS111,Junior,0,CEN or EE major,2.50 - 2.99,20 - 22,Male,0 - 1 hours,"0, I don't go to the gym",3,15 - 30 minutes,5 - 6 hours,3,Once per week,Coffee,12-24 oz (1 - 2 cups),12-15
116,CS111,Junior,0,CEN or EE major,3.00 - 3.33,20 - 22,Female,0 - 1 hours,"0, I don't go to the gym",1,30 - 45 minutes,6 - 7 hours,2,I don't consume them at all,"Tea, Coffee, Energy drink, that is when i do drink it from some reason (btw)",Less than 12 oz (about 1 cup),12-15
117,CS111,Junior,0,CSBA major,3.34 - 3.66,20 - 22,Male,More than 5+ hours,3 - 4 times,3,15 - 30 minutes,5 - 6 hours,3,Once per day,Energy drink,12-24 oz (1 - 2 cups),>15
